SrNo.;Institute;Program
1;Dr. B R Ambedkar National Institute of Technology, Jalandhar;Textile Technology (4 Years, Bachelor of Technology)
2;Dr. B R Ambedkar National Institute of Technology, Jalandhar;Civil Engineering (4 Years, Bachelor of Technology)
3;Dr. B R Ambedkar National Institute of Technology, Jalandhar;Electronics and VLSI Engineering (4 Years, Bachelor of Technology)
4;Dr. B R Ambedkar National Institute of Technology, Jalandhar;Electronics and Communication Engineering (4 Years, Bachelor of Technology)
5;Dr. B R Ambedkar National Institute of Technology, Jalandhar;Industrial and Production Engineering (4 Years, Bachelor of Technology)
6;Dr. B R Ambedkar National Institute of Technology, Jalandhar;Mathematics and Computing (4 Years, Bachelor of Technology)
7;Dr. B R Ambedkar National Institute of Technology, Jalandhar;Mechanical Engineering (4 Years, Bachelor of Technology)
8;Dr. B R Ambedkar National Institute of Technology, Jalandhar;Bio Technology (4 Years, Bachelor of Technology)
9;Dr. B R Ambedkar National Institute of Technology, Jalandhar;Computer Science and Engineering (4 Years, Bachelor of Technology)
10;Dr. B R Ambedkar National Institute of Technology, Jalandhar;Instrumentation and Control Engineering (4 Years, Bachelor of Technology)
11;Dr. B R Ambedkar National Institute of Technology, Jalandhar;Electrical Engineering (4 Years, Bachelor of Technology)
12;Dr. B R Ambedkar National Institute of Technology, Jalandhar;Chemical Engineering (4 Years, Bachelor of Technology)
13;Dr. B R Ambedkar National Institute of Technology, Jalandhar;Information Technology (4 Years, Bachelor of Technology)
14;Dr. B R Ambedkar National Institute of Technology, Jalandhar;Data Science and Engineering (4 Years, Bachelor of Technology)
15;Malaviya National Institute of Technology Jaipur;Computer Science and Engineering (4 Years, Bachelor of Technology)
16;Malaviya National Institute of Technology Jaipur;Mechanical Engineering (4 Years, Bachelor of Technology)
17;Malaviya National Institute of Technology Jaipur;Chemical Engineering (4 Years, Bachelor of Technology)
18;Malaviya National Institute of Technology Jaipur;Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)
19;Malaviya National Institute of Technology Jaipur;Electrical Engineering (4 Years, Bachelor of Technology)
20;Malaviya National Institute of Technology Jaipur;Electronics and Communication Engineering (4 Years, Bachelor of Technology)
21;Malaviya National Institute of Technology Jaipur;Civil Engineering (4 Years, Bachelor of Technology)
22;Malaviya National Institute of Technology Jaipur;Artificial Intelligence and Data Engineering (4 Years, Bachelor of Technology)
23;Maulana Azad National Institute of Technology Bhopal;Computer Science and Engineering (4 Years, Bachelor of Technology)
24;Maulana Azad National Institute of Technology Bhopal;Electrical Engineering (4 Years, Bachelor of Technology)
25;Maulana Azad National Institute of Technology Bhopal;Chemical Engineering (4 Years, Bachelor of Technology)
26;Maulana Azad National Institute of Technology Bhopal;Materials Science and Metallurgical Engineering (4 Years, Bachelor of Technology)
27;Maulana Azad National Institute of Technology Bhopal;Mathematics and Data Science (5 Years, Bachelor and Master of Technology (Dual Degree))
28;Maulana Azad National Institute of Technology Bhopal;Civil Engineering (4 Years, Bachelor of Technology)
29;Maulana Azad National Institute of Technology Bhopal;Electronics and Communication Engineering (4 Years, Bachelor of Technology)
30;Maulana Azad National Institute of Technology Bhopal;Mechanical Engineering (4 Years, Bachelor of Technology)
31;Motilal Nehru National Institute of Technology Allahabad;Electronics and Communication Engineering (4 Years, Bachelor of Technology)
32;Motilal Nehru National Institute of Technology Allahabad;Civil Engineering (4 Years, Bachelor of Technology)
33;Motilal Nehru National Institute of Technology Allahabad;Materials Engineering (4 Years, Bachelor of Technology)
34;Motilal Nehru National Institute of Technology Allahabad;Engineering and Computational Mechanics (4 Years, Bachelor of Technology)
35;Motilal Nehru National Institute of Technology Allahabad;Mechanical Engineering (4 Years, Bachelor of Technology)
36;Motilal Nehru National Institute of Technology Allahabad;Bio Technology (4 Years, Bachelor of Technology)
37;Motilal Nehru National Institute of Technology Allahabad;Computer Science and Engineering (4 Years, Bachelor of Technology)
38;Motilal Nehru National Institute of Technology Allahabad;Chemical Engineering (4 Years, Bachelor of Technology)
39;Motilal Nehru National Institute of Technology Allahabad;Production and Industrial Engineering (4 Years, Bachelor of Technology)
40;Motilal Nehru National Institute of Technology Allahabad;Electrical Engineering (4 Years, Bachelor of Technology)
41;National Institute of Technology Agartala;Computer Science and Engineering (4 Years, Bachelor of Technology)
42;National Institute of Technology Agartala;Physics (5 Years, Bachelor of Science and Master of Science (Dual Degree))
43;National Institute of Technology Agartala;Electronics and Instrumentation Engineering (4 Years, Bachelor of Technology)
44;National Institute of Technology Agartala;Mechanical Engineering (4 Years, Bachelor of Technology)
45;National Institute of Technology Agartala;Chemical Engineering (4 Years, Bachelor of Technology)
46;National Institute of Technology Agartala;Chemistry (5 Years, Bachelor of Science and Master of Science (Dual Degree))
47;National Institute of Technology Agartala;Mathematics & Computing (5 Years, Bachelor of Science and Master of Science (Dual Degree))
48;National Institute of Technology Agartala;Computational Mathematics (5 Years, Bachelor and Master of Technology (Dual Degree))
49;National Institute of Technology Agartala;Engineering Physics (5 Years, Bachelor and Master of Technology (Dual Degree))
50;National Institute of Technology Agartala;Electrical Engineering (4 Years, Bachelor of Technology)
51;National Institute of Technology Agartala;Biotechnology and Biochemical Engineering (4 Years, Bachelor of Technology)
52;National Institute of Technology Agartala;Electronics and Communication Engineering (4 Years, Bachelor of Technology)
53;National Institute of Technology Agartala;Production Engineering (4 Years, Bachelor of Technology)
54;National Institute of Technology Agartala;Civil Engineering (4 Years, Bachelor of Technology)
55;National Institute of Technology Calicut;Engineering Physics (4 Years, Bachelor of Technology)
56;National Institute of Technology Calicut;Chemical Engineering (4 Years, Bachelor of Technology)
57;National Institute of Technology Calicut;Materials Science and Engineering (4 Years, Bachelor of Technology)
58;National Institute of Technology Calicut;Production Engineering (4 Years, Bachelor of Technology)
59;National Institute of Technology Calicut;Civil Engineering (4 Years, Bachelor of Technology)
60;National Institute of Technology Calicut;Electronics and Communication Engineering (4 Years, Bachelor of Technology)
61;National Institute of Technology Calicut;Bio Technology (4 Years, Bachelor of Technology)
62;National Institute of Technology Calicut;Mechanical Engineering (4 Years, Bachelor of Technology)
63;National Institute of Technology Calicut;Computer Science and Engineering (4 Years, Bachelor of Technology)
64;National Institute of Technology Calicut;Electrical and Electronics Engineering (4 Years, Bachelor of Technology)
65;National Institute of Technology Delhi;Electronics and Communication Engineering (4 Years, Bachelor of Technology)
66;National Institute of Technology Delhi;Computer Science and Engineering (4 Years, Bachelor of Technology)
67;National Institute of Technology Delhi;Artificial Intelligence and Data Science (4 Years, Bachelor of Technology)
68;National Institute of Technology Delhi;Mechanical Engineering (4 Years, Bachelor of Technology)
69;National Institute of Technology Delhi;Aerospace Engineering (4 Years, Bachelor of Technology)
70;National Institute of Technology Delhi;Civil Engineering (4 Years, Bachelor of Technology)
71;National Institute of Technology Delhi;VLSI Design and Technology (4 Years, Bachelor of Technology)
72;National Institute of Technology Delhi;Electrical Engineering (4 Years, Bachelor of Technology)
73;National Institute of Technology Durgapur;B.Tech in Mathematics and Computing (4 Years, Bachelor of Technology)
74;National Institute of Technology Durgapur;Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)
75;National Institute of Technology Durgapur;Biotechnology (5 Years, Bachelor and Master of Technology (Dual Degree))
76;National Institute of Technology Durgapur;Electrical Engineering (4 Years, Bachelor of Technology)
77;National Institute of Technology Durgapur;Chemical Engineering (4 Years, Bachelor of Technology)
78;National Institute of Technology Durgapur;Chemical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))
79;National Institute of Technology Durgapur;Electronics and Communication Engineering (4 Years, Bachelor of Technology)
80;National Institute of Technology Durgapur;Civil Engineering (4 Years, Bachelor of Technology)
81;National Institute of Technology Durgapur;Chemistry (5 Years, Integrated Master of Science)
82;National Institute of Technology Durgapur;Bio Technology (4 Years, Bachelor of Technology)
83;National Institute of Technology Durgapur;Computer Science and Engineering (4 Years, Bachelor of Technology)
84;National Institute of Technology Durgapur;Mechanical Engineering (4 Years, Bachelor of Technology)
85;National Institute of Technology Goa;Electronics and Communication Engineering (4 Years, Bachelor of Technology)
86;National Institute of Technology Goa;Civil Engineering (4 Years, Bachelor of Technology)
87;National Institute of Technology Goa;Mechanical Engineering (4 Years, Bachelor of Technology)
88;National Institute of Technology Goa;Computer Science and Engineering (4 Years, Bachelor of Technology)
89;National Institute of Technology Goa;Electrical and Electronics Engineering (4 Years, Bachelor of Technology)
90;National Institute of Technology Hamirpur;Mathematics and Computing (4 Years, Bachelor of Technology)
91;National Institute of Technology Hamirpur;Computer Science and Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))
92;National Institute of Technology Hamirpur;Computer Science and Engineering (4 Years, Bachelor of Technology)
93;National Institute of Technology Hamirpur;Mechanical Engineering (4 Years, Bachelor of Technology)
94;National Institute of Technology Hamirpur;Electrical Engineering (4 Years, Bachelor of Technology)
95;National Institute of Technology Hamirpur;Engineering Physics (4 Years, Bachelor of Technology)
96;National Institute of Technology Hamirpur;Materials Science and Engineering (4 Years, Bachelor of Technology)
97;National Institute of Technology Hamirpur;Chemical Engineering (4 Years, Bachelor of Technology)
98;National Institute of Technology Hamirpur;Electronics and Communication Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))
99;National Institute of Technology Hamirpur;Electronics and Communication Engineering (4 Years, Bachelor of Technology)
100;National Institute of Technology Hamirpur;Civil Engineering (4 Years, Bachelor of Technology)
101;National Institute of Technology Karnataka, Surathkal;Artificial Intelligence (4 Years, Bachelor of Technology)
102;National Institute of Technology Karnataka, Surathkal;Computer Science and Engineering (4 Years, Bachelor of Technology)
103;National Institute of Technology Karnataka, Surathkal;Electrical and Electronics Engineering (4 Years, Bachelor of Technology)
104;National Institute of Technology Karnataka, Surathkal;Mechanical Engineering (4 Years, Bachelor of Technology)
105;National Institute of Technology Karnataka, Surathkal;Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)
106;National Institute of Technology Karnataka, Surathkal;Chemical Engineering (4 Years, Bachelor of Technology)
107;National Institute of Technology Karnataka, Surathkal;Information Technology (4 Years, Bachelor of Technology)
108;National Institute of Technology Karnataka, Surathkal;Civil Engineering (4 Years, Bachelor of Technology)
109;National Institute of Technology Karnataka, Surathkal;Electronics and Communication Engineering (4 Years, Bachelor of Technology)
110;National Institute of Technology Karnataka, Surathkal;Mining Engineering (4 Years, Bachelor of Technology)
111;National Institute of Technology Karnataka, Surathkal;Computational and Data Science (4 Years, Bachelor of Technology)
112;National Institute of Technology Meghalaya;Civil Engineering (4 Years, Bachelor of Technology)
113;National Institute of Technology Meghalaya;Electronics and Communication Engineering (4 Years, Bachelor of Technology)
114;National Institute of Technology Meghalaya;Mechanical Engineering (4 Years, Bachelor of Technology)
115;National Institute of Technology Meghalaya;Electrical and Electronics Engineering (4 Years, Bachelor of Technology)
116;National Institute of Technology Meghalaya;Computer Science and Engineering (4 Years, Bachelor of Technology)
117;National Institute of Technology Nagaland;Electronics and Communication Engineering (4 Years, Bachelor of Technology)
118;National Institute of Technology Nagaland;Civil Engineering (4 Years, Bachelor of Technology)
119;National Institute of Technology Nagaland;Electrical and Electronics Engineering (4 Years, Bachelor of Technology)
120;National Institute of Technology Nagaland;Electronics and Instrumentation Engineering (4 Years, Bachelor of Technology)
121;National Institute of Technology Nagaland;Computer Science and Engineering (4 Years, Bachelor of Technology)
122;National Institute of Technology Nagaland;Mechanical Engineering (4 Years, Bachelor of Technology)
123;National Institute of Technology Patna;Mathematics and Computing Technology (5 Years, Bachelor and Master of Technology (Dual Degree))
124;National Institute of Technology Patna;Computer Science and Engineering (4 Years, Bachelor of Technology)
125;National Institute of Technology Patna;Electrical Engineering with Specialization In Power System Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))
126;National Institute of Technology Patna;Chemical Technology (5 Years, Bachelor and Master of Technology (Dual Degree))
127;National Institute of Technology Patna;Civil Engineering with Specialization in Construction Technology and Management (5 Years, Bachelor and Master of Technology (Dual Degree))
128;National Institute of Technology Patna;Electrical Engineering (4 Years, Bachelor of Technology)
129;National Institute of Technology Patna;Electronics and Communication Engineering with Specialization in Microelectronics and VLSI System Design (5 Years, Bachelor and Master of Technology (Dual Degree))
130;National Institute of Technology Patna;Civil Engineering (4 Years, Bachelor of Technology)
131;National Institute of Technology Patna;Electronics and Communication Engineering (4 Years, Bachelor of Technology)
132;National Institute of Technology Patna;Material Science and Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))
133;National Institute of Technology Patna;Computer Science and Engineering with Specialization in Cyber Security (5 Years, Bachelor and Master of Technology (Dual Degree))
134;National Institute of Technology Patna;Mechanical Engineering (4 Years, Bachelor of Technology)
135;National Institute of Technology Patna;Mechatronics and Automation Engineering (4 Years, Bachelor of Technology)
136;National Institute of Technology Patna;Computer Science and Engineering with Specialization in Data Science (5 Years, Bachelor and Master of Technology (Dual Degree))
137;National Institute of Technology Patna;Mechanical Engineering with Specialization in Manufacturing and Industrial Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))
138;National Institute of Technology Puducherry;Civil Engineering (4 Years, Bachelor of Technology)
139;National Institute of Technology Puducherry;Electronics and Communication Engineering (4 Years, Bachelor of Technology)
140;National Institute of Technology Puducherry;Mechanical Engineering (4 Years, Bachelor of Technology)
141;National Institute of Technology Puducherry;Electrical and Electronics Engineering (4 Years, Bachelor of Technology)
142;National Institute of Technology Puducherry;Computer Science and Engineering (4 Years, Bachelor of Technology)
143;National Institute of Technology Raipur;Mechanical Engineering (4 Years, Bachelor of Technology)
144;National Institute of Technology Raipur;Bio Technology (4 Years, Bachelor of Technology)
145;National Institute of Technology Raipur;Computer Science and Engineering (4 Years, Bachelor of Technology)
146;National Institute of Technology Raipur;Chemical Engineering (4 Years, Bachelor of Technology)
147;National Institute of Technology Raipur;Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)
148;National Institute of Technology Raipur;Electrical Engineering (4 Years, Bachelor of Technology)
149;National Institute of Technology Raipur;Bio Medical Engineering (4 Years, Bachelor of Technology)
150;National Institute of Technology Raipur;Information Technology (4 Years, Bachelor of Technology)
151;National Institute of Technology Raipur;Mining Engineering (4 Years, Bachelor of Technology)
152;National Institute of Technology Raipur;Civil Engineering (4 Years, Bachelor of Technology)
153;National Institute of Technology Raipur;Electronics and Communication Engineering (4 Years, Bachelor of Technology)
154;National Institute of Technology Sikkim;Mechanical Engineering (4 Years, Bachelor of Technology)
155;National Institute of Technology Sikkim;Computer Science and Engineering (4 Years, Bachelor of Technology)
156;National Institute of Technology Sikkim;Artificial Intelligence and Machine Learning (4 Years, Bachelor of Technology)
157;National Institute of Technology Sikkim;Electrical and Electronics Engineering (4 Years, Bachelor of Technology)
158;National Institute of Technology Sikkim;Electronics and Communication Engineering (4 Years, Bachelor of Technology)
159;National Institute of Technology Sikkim;Civil Engineering (4 Years, Bachelor of Technology)
160;National Institute of Technology Arunachal Pradesh;Electronics and Communication Engineering (4 Years, Bachelor of Technology)
161;National Institute of Technology Arunachal Pradesh;Civil Engineering (4 Years, Bachelor of Technology)
162;National Institute of Technology Arunachal Pradesh;Mechanical Engineering (4 Years, Bachelor of Technology)
163;National Institute of Technology Arunachal Pradesh;Computer Science and Engineering (4 Years, Bachelor of Technology)
164;National Institute of Technology Arunachal Pradesh;Electrical Engineering (4 Years, Bachelor of Technology)
165;National Institute of Technology, Jamshedpur;Computer Science and Engineering (4 Years, Bachelor of Technology)
166;National Institute of Technology, Jamshedpur;Mechanical Engineering (4 Years, Bachelor of Technology)
167;National Institute of Technology, Jamshedpur;Electrical Engineering (4 Years, Bachelor of Technology)
168;National Institute of Technology, Jamshedpur;Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)
169;National Institute of Technology, Jamshedpur;Production and Industrial Engineering (4 Years, Bachelor of Technology)
170;National Institute of Technology, Jamshedpur;Civil Engineering (4 Years, Bachelor of Technology)
171;National Institute of Technology, Jamshedpur;Engineering and Computational Mechanics (4 Years, Bachelor of Technology)
172;National Institute of Technology, Jamshedpur;Electronics and Communication Engineering (4 Years, Bachelor of Technology)
173;National Institute of Technology, Kurukshetra;Civil Engineering (4 Years, Bachelor of Technology)
174;National Institute of Technology, Kurukshetra;Information Technology (4 Years, Bachelor of Technology)
175;National Institute of Technology, Kurukshetra;SUSTAINABLE ENERGY TECHNOLOGIES (4 Years, Bachelor of Technology)
176;National Institute of Technology, Kurukshetra;Production and Industrial Engineering (4 Years, Bachelor of Technology)
177;National Institute of Technology, Kurukshetra;Electrical Engineering (4 Years, Bachelor of Technology)
178;National Institute of Technology, Kurukshetra;Electronics and Communication Engineering (4 Years, Bachelor of Technology)
179;National Institute of Technology, Kurukshetra;Electronics and Communication Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))
180;National Institute of Technology, Kurukshetra;ROBOTICS & AUTOMATION (4 Years, Bachelor of Technology)
181;National Institute of Technology, Kurukshetra;Artificial Intelligence and Data Science (4 Years, Bachelor of Technology)
182;National Institute of Technology, Kurukshetra;Electrical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))
183;National Institute of Technology, Kurukshetra;Mechanical Engineering (4 Years, Bachelor of Technology)
184;National Institute of Technology, Kurukshetra;Computer Science and Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))
185;National Institute of Technology, Kurukshetra;Microelectronics & VLSI Engineering (4 Years, Bachelor of Technology)
186;National Institute of Technology, Kurukshetra;Computer Science and Engineering (4 Years, Bachelor of Technology)
187;National Institute of Technology, Kurukshetra;Artificial Intelligence and Machine Learning (4 Years, Bachelor of Technology)
188;National Institute of Technology, Kurukshetra;Mathematics and Computing (4 Years, Bachelor of Technology)
189;National Institute of Technology, Kurukshetra;Mechanical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))
190;National Institute of Technology, Kurukshetra;Industrial Internet of Things (4 Years, Bachelor of Technology)
191;National Institute of Technology, Kurukshetra;Civil Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))
192;National Institute of Technology, Manipur;Computer Science and Engineering (4 Years, Bachelor of Technology)
193;National Institute of Technology, Manipur;Mechanical Engineering (4 Years, Bachelor of Technology)
194;National Institute of Technology, Manipur;Electrical Engineering (4 Years, Bachelor of Technology)
195;National Institute of Technology, Manipur;Electronics and Communication Engineering (4 Years, Bachelor of Technology)
196;National Institute of Technology, Manipur;Civil Engineering (4 Years, Bachelor of Technology)
197;National Institute of Technology, Mizoram;Mechanical Engineering (4 Years, Bachelor of Technology)
198;National Institute of Technology, Mizoram;Mathematics and Computing (4 Years, Bachelor of Technology)
199;National Institute of Technology, Mizoram;Computer Science and Engineering (4 Years, Bachelor of Technology)
200;National Institute of Technology, Mizoram;Electrical Engineering (4 Years, Bachelor of Technology)
201;National Institute of Technology, Mizoram;Electronics and Communication Engineering (4 Years, Bachelor of Technology)
202;National Institute of Technology, Mizoram;Civil Engineering (4 Years, Bachelor of Technology)
203;National Institute of Technology, Rourkela;Chemical Engineering (4 Years, Bachelor of Technology)
204;National Institute of Technology, Rourkela;Life Science (5 Years, Integrated Master of Science)
205;National Institute of Technology, Rourkela;Ceramic Engineering and M.Tech Industrial Ceramic (5 Years, Bachelor and Master of Technology (Dual Degree))
206;National Institute of Technology, Rourkela;Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)
207;National Institute of Technology, Rourkela;Chemical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))
208;National Institute of Technology, Rourkela;Ceramic Engineering (4 Years, Bachelor of Technology)
209;National Institute of Technology, Rourkela;Physics (5 Years, Integrated Master of Science)
210;National Institute of Technology, Rourkela;Bio Medical Engineering (4 Years, Bachelor of Technology)
211;National Institute of Technology, Rourkela;Mining Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))
212;National Institute of Technology, Rourkela;Electrical Engineering (4 Years, Bachelor of Technology)
213;National Institute of Technology, Rourkela;Industrial Design (4 Years, Bachelor of Technology)
214;National Institute of Technology, Rourkela;Metallurgical and Materials Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))
215;National Institute of Technology, Rourkela;Civil Engineering (4 Years, Bachelor of Technology)
216;National Institute of Technology, Rourkela;Chemistry (5 Years, Integrated Master of Science)
217;National Institute of Technology, Rourkela;Electronics and Communication Engineering (4 Years, Bachelor of Technology)
218;National Institute of Technology, Rourkela;Mathematics (5 Years, Integrated Master of Science)
219;National Institute of Technology, Rourkela;Mining Engineering (4 Years, Bachelor of Technology)
220;National Institute of Technology, Rourkela;Electronics and Instrumentation Engineering (4 Years, Bachelor of Technology)
221;National Institute of Technology, Rourkela;Food Process Engineering (4 Years, Bachelor of Technology)
222;National Institute of Technology, Rourkela;Bio Technology (4 Years, Bachelor of Technology)
223;National Institute of Technology, Rourkela;Computer Science and Engineering (4 Years, Bachelor of Technology)
224;National Institute of Technology, Rourkela;Artificial Intelligence (4 Years, Bachelor of Technology)
225;National Institute of Technology, Rourkela;Mechanical Engineering (4 Years, Bachelor of Technology)
226;National Institute of Technology, Silchar;Electronics and Instrumentation Engineering (4 Years, Bachelor of Technology)
227;National Institute of Technology, Silchar;Mechanical Engineering (4 Years, Bachelor of Technology)
228;National Institute of Technology, Silchar;Computer Science and Engineering (4 Years, Bachelor of Technology)
229;National Institute of Technology, Silchar;Electrical Engineering (4 Years, Bachelor of Technology)
230;National Institute of Technology, Silchar;Civil Engineering (4 Years, Bachelor of Technology)
231;National Institute of Technology, Silchar;Electronics and Communication Engineering (4 Years, Bachelor of Technology)
232;National Institute of Technology, Srinagar;Electrical Engineering (4 Years, Bachelor of Technology)
233;National Institute of Technology, Srinagar;Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)
234;National Institute of Technology, Srinagar;Information Technology (4 Years, Bachelor of Technology)
235;National Institute of Technology, Srinagar;Chemical Engineering (4 Years, Bachelor of Technology)
236;National Institute of Technology, Srinagar;Electronics and Communication Engineering (4 Years, Bachelor of Technology)
237;National Institute of Technology, Srinagar;Civil Engineering (4 Years, Bachelor of Technology)
238;National Institute of Technology, Srinagar;Computer Science and Engineering (4 Years, Bachelor of Technology)
239;National Institute of Technology, Srinagar;Mechanical Engineering (4 Years, Bachelor of Technology)
240;National Institute of Technology, Tiruchirappalli;Civil Engineering (4 Years, Bachelor of Technology)
241;National Institute of Technology, Tiruchirappalli;Electronics and Communication Engineering (4 Years, Bachelor of Technology)
242;National Institute of Technology, Tiruchirappalli;Production Engineering (4 Years, Bachelor of Technology)
243;National Institute of Technology, Tiruchirappalli;Computer Science and Engineering (4 Years, Bachelor of Technology)
244;National Institute of Technology, Tiruchirappalli;Mechanical Engineering (4 Years, Bachelor of Technology)
245;National Institute of Technology, Tiruchirappalli;Chemical Engineering (4 Years, Bachelor of Technology)
246;National Institute of Technology, Tiruchirappalli;Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)
247;National Institute of Technology, Tiruchirappalli;Electrical and Electronics Engineering (4 Years, Bachelor of Technology)
248;National Institute of Technology, Tiruchirappalli;Instrumentation and Control Engineering (4 Years, Bachelor of Technology)
249;National Institute of Technology, Uttarakhand;Mechanical Engineering (4 Years, Bachelor of Technology)
250;National Institute of Technology, Uttarakhand;Computer Science and Engineering (4 Years, Bachelor of Technology)
251;National Institute of Technology, Uttarakhand;Electrical and Electronics Engineering (4 Years, Bachelor of Technology)
252;National Institute of Technology, Uttarakhand;Civil Engineering (4 Years, Bachelor of Technology)
253;National Institute of Technology, Uttarakhand;Electronics and Communication Engineering (4 Years, Bachelor of Technology)
254;National Institute of Technology, Warangal;Mathematics (5 Years, Integrated Master of Science)
255;National Institute of Technology, Warangal;Civil Engineering (4 Years, Bachelor of Technology)
256;National Institute of Technology, Warangal;Electronics and Communication Engineering (4 Years, Bachelor of Technology)
257;National Institute of Technology, Warangal;Chemistry (5 Years, Integrated Master of Science)
258;National Institute of Technology, Warangal;Physics (5 Years, Integrated Master of Science)
259;National Institute of Technology, Warangal;Mathematics and Computing (4 Years, Bachelor of Technology)
260;National Institute of Technology, Warangal;Bio Technology (4 Years, Bachelor of Technology)
